eval_set,n_pairs,metric,n_targets,mean_effective_pairs,mean_prediction,oracle_best,confidence_top
eval-val,377,gdt_ts,1,377,0.6412848158131177,0.6886792452830188,0.6071428571428572
eval-val,377,lddt,1,377,0.7578869269496639,0.760844772397778,0.7592502561694812
eval-val,377,rmsd,1,377,1.5411113620997985,1.386747702491567,1.6410045035129381
eval-val,377,tm_score,1,377,0.8930562531908556,0.9104871720459732,0.8817993750565485
eval-val,380,gdt_ts,18,379.77777777777777,0.41883015039863153,0.43996546270269404,0.4247045125926694
eval-val,380,lddt,18,379.77777777777777,0.5869144423518449,0.5913181558707064,0.5895765361658161
eval-val,380,rmsd,18,379.77777777777777,6.392852992295363,5.968249052368701,6.146614720133232
eval-val,380,tm_score,18,379.77777777777777,0.7043370656925317,0.7149057678016386,0.7063454856776112
eval-val,384,gdt_ts,1,384,0.8328993055555555,0.8417968749999999,0.8417968749999999
eval-val,384,lddt,1,384,0.7754475298898375,0.7838742485234969,0.7803965099750347
eval-val,384,rmsd,1,384,1.8664868194895006,1.35390535117887,1.35390535117887
eval-val,384,tm_score,1,384,0.9300786775725218,0.9398943633239768,0.9398943633239768
eval-val,390,gdt_ts,17,389.7647058823529,0.3919623574695383,0.4072900374289904,0.39578320867122047
eval-val,390,lddt,17,389.7647058823529,0.5713006503815572,0.5761311159217521,0.5721415360332358
eval-val,390,rmsd,17,389.7647058823529,6.302941538049513,5.945396057245676,6.147855028647383
eval-val,390,tm_score,17,389.7647058823529,0.687442673017186,0.6965403284386333,0.6909591685152999
eval-val,394,gdt_ts,1,393,0.5744125326370757,0.5972584856396868,0.5580939947780679
eval-val,394,lddt,1,393,0.6050526900015026,0.6087203891401399,0.5990296944755478
eval-val,394,rmsd,1,393,2.302537682633496,2.202601404439857,2.4003656004190908
eval-val,394,tm_score,1,393,0.854379587109964,0.8646430229066018,0.8457101108769568
eval-val,398,gdt_ts,1,398,0.529030910609858,0.550125313283208,0.550125313283208
eval-val,398,lddt,1,398,0.6568882660216713,0.6622045350470377,0.6622045350470377
eval-val,398,rmsd,1,398,3.5433023826029624,3.301708557873121,3.301708557873121
eval-val,398,tm_score,1,398,0.8322739346952305,0.8428892878244126,0.8428892878244126
eval-val,399,gdt_ts,1,399,0.658008658008658,0.7318181818181819,0.6402597402597403
eval-val,399,lddt,1,399,0.723866531461459,0.7337753750819588,0.7129208824550352
eval-val,399,rmsd,1,399,2.9368722527344815,1.351417169825661,3.686693984213736
eval-val,399,tm_score,1,399,0.9057683200716913,0.9263466649927076,0.8953995309116515
eval-val,400,gdt_ts,14,399.7857142857143,0.3318379584170542,0.3550099154920117,0.33791620324230315
eval-val,400,lddt,14,399.7857142857143,0.5513723217586856,0.5553944370178416,0.5529313595728099
eval-val,400,rmsd,14,399.7857142857143,7.3927187201523035,6.589995327147033,6.739240086005
eval-val,400,tm_score,14,399.7857142857143,0.6508625314119203,0.6638515679252428,0.6605247202141926
eval-val,410,gdt_ts,14,409.7857142857143,0.32706484524367374,0.3450702786760351,0.3300944762011648
eval-val,410,lddt,14,409.7857142857143,0.5535714851782305,0.5588708085225094,0.554170674203725
eval-val,410,rmsd,14,409.7857142857143,7.3076253864093825,6.827591328969413,7.036891261524856
eval-val,410,tm_score,14,409.7857142857143,0.64629484745407,0.6566723190809398,0.6524078378708741
eval-val,413,gdt_ts,1,413,0.30716080402010054,0.3234924623115578,0.2870603015075377
eval-val,413,lddt,1,413,0.709523537037755,0.7112735787237263,0.709693511201682
eval-val,413,rmsd,1,413,7.478187427594445,7.332885741806348,7.402380702207429
eval-val,413,tm_score,1,413,0.6618366101837142,0.6712047106568433,0.659804023359215
eval-val,420,gdt_ts,13,419.7692307692308,0.33161866760163883,0.34477862728622555,0.33717891656267485
eval-val,420,lddt,13,419.7692307692308,0.5411194423278589,0.5457901788879645,0.5410899484580978
eval-val,420,rmsd,13,419.7692307692308,6.814555131144428,6.412038924560618,6.625166449581189
eval-val,420,tm_score,13,419.7692307692308,0.6444731272046023,0.6551207653942778,0.6485124115106715
eval-val,426,gdt_ts,1,426,0.48854961832061067,0.5031806615776082,0.5031806615776082
eval-val,426,lddt,1,426,0.7335268814558755,0.7361743286299499,0.7339330967289547
eval-val,426,rmsd,1,426,2.1206288921450316,2.100660793591497,2.13120755235412
eval-val,426,tm_score,1,426,0.8284189682842775,0.839093174349891,0.839093174349891
eval-val,430,gdt_ts,12,429.75,0.3126380923601441,0.32395570969480925,0.31811764059915515
eval-val,430,lddt,12,429.75,0.5291679283634533,0.5335507440111216,0.5308515403345664
eval-val,430,rmsd,12,429.75,7.196565473812649,7.018029209241011,7.19426496893441
eval-val,430,tm_score,12,429.75,0.638155118736361,0.6471356004977672,0.6394180250818722
eval-val,440,gdt_ts,12,439.75,0.32717785684400075,0.34229402335235165,0.330310906447621
eval-val,440,lddt,12,439.75,0.5297126564947015,0.5351156769800931,0.5329172985433605
eval-val,440,rmsd,12,439.75,7.429844885439359,7.017573006518574,7.262893968040163
eval-val,440,tm_score,12,439.75,0.6344307726881467,0.644396831695086,0.6350984547509806
eval-val,450,gdt_ts,12,449.75,0.3281249514404313,0.3434950183739507,0.3309962184491857
eval-val,450,lddt,12,449.75,0.5292998707245773,0.5343310655641247,0.5308711325512095
eval-val,450,rmsd,12,449.75,7.331267999263114,6.9504003524463025,7.389929895093023
eval-val,450,tm_score,12,449.75,0.6386063993496951,0.6459897239750163,0.6384044146623873
eval-val,459,gdt_ts,1,458,0.07201348747591522,0.07297687861271676,0.07153179190751445
eval-val,459,lddt,1,458,0.28469223119640547,0.2868296404021733,0.2868296404021733
eval-val,459,rmsd,1,458,10.38145132367427,10.304123102516511,10.440742051596395
eval-val,459,tm_score,1,458,0.34527144214176214,0.34982257826400964,0.3377223074736681
eval-val,460,gdt_ts,11,459.6363636363636,0.3579112218939005,0.3710739699324774,0.3554418361998957
eval-val,460,lddt,11,459.6363636363636,0.551952855396391,0.5567558616625315,0.5504480401435623
eval-val,460,rmsd,11,459.6363636363636,7.924562444165096,7.033651098087909,8.619871630395188
eval-val,460,tm_score,11,459.6363636363636,0.6622101992965937,0.6706793699712389,0.6605642555529604
eval-val,468,gdt_ts,1,467,0.008771929824561403,0.011961722488038277,0.006578947368421052
eval-val,468,lddt,1,467,0.24260867245253195,0.2484551076269011,0.23972944013244613
eval-val,468,rmsd,1,467,14.404522764586114,14.246609456195673,14.246609456195673
eval-val,468,tm_score,1,467,0.2717858743168655,0.28841192341031036,0.28841192341031036
eval-val,470,gdt_ts,10,469.6,0.3962404295376434,0.4102086173588925,0.4080587907557067
eval-val,470,lddt,10,469.6,0.580090537649894,0.5855209048077575,0.5779499792534064
eval-val,470,rmsd,10,469.6,8.428649378446938,6.578906081411826,10.30831386205826
eval-val,470,tm_score,10,469.6,0.7016035932438658,0.7105912703408238,0.7078618974291369
eval-val,480,gdt_ts,10,479.6,0.4006362668771665,0.41664283285213105,0.4020001814460698
eval-val,480,lddt,10,479.6,0.5837602619130636,0.5877686507348152,0.5847136640480116
eval-val,480,rmsd,10,479.6,7.814902221563853,6.550235686495284,7.998294399468653
