budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
729,17,10,2,12,2,8,7,2,9,6,2,17.021544821986982,10.32269842125626,1.6557567567567568
730,17,10,2,12,2,8,7,2,9,6,2,17.021291609457098,10.321411093245604,1.6572972972972972
731,17,10,2,12,2,8,7,2,9,6,2,17.021040560557957,10.32012360360621,1.658835835835836
732,17,10,2,12,2,8,7,2,9,6,2,17.020791662616183,10.318835965011445,1.6603723723723722
733,17,10,2,12,2,8,7,2,9,6,2,17.020544903016734,10.31754819007636,1.661906906906907
734,17,10,2,12,2,8,7,2,9,6,2,17.020300269202558,10.316260291358,1.6634394394394394
735,17,10,2,12,2,8,7,2,9,6,2,17.02005774867432,10.314972281355713,1.6649699699699703
736,17,10,2,12,2,8,7,2,9,6,2,17.01981732899003,10.313684172511474,1.6664984984984987
737,17,10,2,12,2,8,7,2,9,6,2,17.019578997764782,10.312395977210189,1.6680250250250253
738,17,10,2,12,2,8,7,2,9,6,2,17.019342742670432,10.311107707780021,1.6695495495495494
739,17,10,2,12,2,8,7,2,9,6,2,17.019108551435238,10.30981937649269,1.671072072072072
740,17,10,2,12,2,8,7,2,9,6,2,17.01887641184362,10.308530995563787,1.6725925925925926
741,17,10,2,12,2,8,7,2,9,6,2,17.0186463117358,10.30724257715309,1.6741111111111113
742,17,10,2,12,2,8,7,2,9,6,2,17.018418239007502,10.30595413336487,1.6756276276276276
743,17,10,2,12,2,8,7,2,9,6,2,17.018192181609663,10.304665676248197,1.6771421421421422
744,17,10,2,12,2,8,7,2,9,6,2,17.017968127548087,10.303377217797257,1.6786546546546548
745,17,10,2,12,2,8,7,2,9,6,2,17.017746064883184,10.302088769951652,1.6801651651651652
746,17,10,2,12,2,8,7,2,9,6,2,17.017525981729612,10.300800344596713,1.6816736736736737
747,17,10,2,12,2,8,7,2,9,6,2,17.01730786625602,10.2995119535638,1.6831801801801802
748,17,10,2,12,2,8,7,2,9,6,2,17.017091706684706,10.29822360863061,1.6846846846846846
749,17,10,2,12,2,8,7,2,9,6,2,17.016877491291332,10.296935321521481,1.6861871871871874
750,17,10,2,12,2,8,7,2,9,6,2,17.016665208404604,10.295647103907706,1.6876876876876876
751,17,10,2,12,2,8,7,2,9,6,2,17.016454846405995,10.294358967407819,1.6891861861861863
752,17,10,2,12,2,8,7,2,9,6,2,17.016246393729404,10.293070923587912,1.6906826826826826
753,17,10,2,12,2,8,7,2,9,6,2,17.016039838860898,10.291782983961927,1.6921771771771772
754,17,10,2,12,2,8,7,2,9,6,2,17.01583517033837,10.290495159991961,1.6936696696696698
755,17,10,2,12,2,8,7,2,9,6,2,17.01563237675127,10.28920746308857,1.6951601601601602
756,17,10,2,12,2,8,7,2,9,6,2,17.015431446740287,10.287919904611064,1.6966486486486487
757,17,10,2,12,2,8,7,2,9,6,2,17.015232368997054,10.286632495867808,1.698135135135135
758,17,10,2,12,2,8,7,2,9,6,2,17.01503513226386,10.285345248116517,1.6996196196196196
759,17,10,2,12,2,8,7,2,9,6,2,17.01483972533334,10.28405817256456,1.701102102102102
760,17,10,2,12,2,8,7,2,9,6,2,17.01464613704817,10.282771280369246,1.7025825825825827
761,17,10,2,12,2,8,7,2,9,6,2,17.01445435630081,10.28148458263813,1.704061061061061
762,17,10,2,12,2,8,7,2,9,6,2,17.014264372033153,10.280198090429309,1.7055375375375377
763,17,10,2,12,2,8,7,2,9,6,2,17.014076173236283,10.278911814751705,1.707012012012012
764,17,10,2,12,2,8,7,2,9,6,2,17.013889748950145,10.277625766565368,1.7084844844844844
765,17,10,2,12,2,8,7,2,9,6,2,17.013705088263272,10.276339956781772,1.7099549549549549
766,17,10,2,12,2,8,7,2,9,6,2,17.013522180312485,10.275054396264094,1.7114234234234234
767,17,10,2,12,2,8,7,2,9,6,2,17.013341014282588,10.27376909582752,1.7128898898898899
768,17,10,2,12,2,8,7,2,9,6,2,17.01316157940612,10.272484066239526,1.7143543543543545
769,17,10,2,12,2,8,7,2,9,6,2,17.012983864963008,10.271199318220177,1.715816816816817
770,17,10,2,12,2,8,7,2,9,6,2,17.01280786028032,10.269914862442402,1.7172772772772773
771,17,10,2,12,2,8,7,2,9,6,2,17.012633554731963,10.268630709532303,1.7187357357357358
772,17,10,2,12,2,8,7,2,9,6,2,17.012460937738386,10.26734687006942,1.7201921921921923
773,17,10,2,12,2,8,7,2,9,6,2,17.012289998766313,10.266063354587041,1.7216466466466467
774,17,10,2,12,2,8,7,2,9,6,2,17.012120727328433,10.264780173572468,1.723099099099099
775,17,10,2,12,2,8,7,2,9,6,2,17.011953112983136,10.263497337467317,1.7245495495495495
776,17,10,2,12,2,8,7,2,9,6,2,17.011787145334207,10.262214856667796,1.725997997997998
777,17,10,2,12,2,8,7,2,9,6,2,17.011622814030563,10.260932741524993,1.7274444444444443
778,17,10,2,12,2,8,7,2,9,6,2,17.01146010876596,10.259651002345153,1.728888888888889
779,17,10,2,12,2,8,7,2,9,6,2,17.011299019278695,10.258369649389973,1.7303313313313313
780,17,10,2,12,2,8,7,2,9,6,2,17.01113953535136,10.257088692876868,1.7317717717717718
781,17,10,2,12,2,8,7,2,9,6,2,17.01098164681052,10.255808142979268,1.7332102102102103
782,17,10,2,12,2,8,7,2,9,6,2,17.01082534352647,10.254528009826883,1.7346466466466468
