population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
nonfoldbench_designed,depth_tier,10-100,Protenix-v2 + MSA,all,R,1,0.8260869565217391,,
nonfoldbench_designed,depth_tier,10-100,Protenix-v2 single-seq,all,R,1,0.8434782608695652,,
nonfoldbench_designed,depth_tier,10-100,ESMFold2,long,R,1,0.7866666666666666,,
nonfoldbench_designed,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),long,R,1,0.32,,
nonfoldbench_designed,depth_tier,10-100,Protenix-v2 + MSA,long,R,1,0.7866666666666666,,
nonfoldbench_designed,depth_tier,10-100,Protenix-v2 single-seq,long,R,1,0.8133333333333334,,
nonfoldbench_designed,depth_tier,100-1000,ESMFold2,all,AUC,1,0.9433992974387524,,
nonfoldbench_designed,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,AUC,1,0.9360062185919396,,
nonfoldbench_designed,depth_tier,100-1000,Protenix-v2 + MSA,all,AUC,1,0.950379571680652,,
nonfoldbench_designed,depth_tier,100-1000,Protenix-v2 single-seq,all,AUC,1,0.9268352009662484,,
nonfoldbench_designed,depth_tier,100-1000,ESMFold2,all,R,1,0.6418918918918919,,
nonfoldbench_designed,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,R,1,0.668918918918919,,
nonfoldbench_designed,depth_tier,100-1000,Protenix-v2 + MSA,all,R,1,0.668918918918919,,
nonfoldbench_designed,depth_tier,100-1000,Protenix-v2 single-seq,all,R,1,0.6824324324324325,,
nonfoldbench_designed,depth_tier,100-1000,ESMFold2,long,R,1,0.4489795918367347,,
nonfoldbench_designed,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),long,R,1,0.4489795918367347,,
nonfoldbench_designed,depth_tier,100-1000,Protenix-v2 + MSA,long,R,1,0.4897959183673469,,
nonfoldbench_designed,depth_tier,100-1000,Protenix-v2 single-seq,long,R,1,0.5714285714285714,,
nonfoldbench_designed,depth_tier,<10,ESMFold2,all,AUC,13,0.9016036109860461,0.8302432360960866,0.9470799714634026
nonfoldbench_designed,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,AUC,13,0.9255146703964741,0.8947978540489421,0.9546561583425558
nonfoldbench_designed,depth_tier,<10,Protenix-v2 + MSA,all,AUC,13,0.9140629378542139,0.880601892041272,0.9431769605399204
nonfoldbench_designed,depth_tier,<10,Protenix-v2 single-seq,all,AUC,13,0.9065875264268184,0.8674474832478348,0.939597787812755
nonfoldbench_designed,depth_tier,<10,ESMFold2,all,R,13,0.7150540869463734,0.5819732222947934,0.8086202366545433
nonfoldbench_designed,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,R,13,0.47704704443715557,0.3896365016539965,0.5676537474040833
nonfoldbench_designed,depth_tier,<10,Protenix-v2 + MSA,all,R,13,0.7242469481636495,0.6371808037713605,0.7991112086769383
nonfoldbench_designed,depth_tier,<10,Protenix-v2 single-seq,all,R,13,0.7219997433542127,0.6433164552621031,0.7925570664948998
nonfoldbench_designed,depth_tier,<10,ESMFold2,long,R,13,0.702093790497272,0.561294222827006,0.8162361431577846
nonfoldbench_designed,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),long,R,13,0.43493470976871185,0.3204204532325908,0.5619022956987977
